# 
# T    Cp J/K S J/mol         H-Hr kJ/mol
298.15 32.479 195.552 195.552 0.000 142.920 113.659 219.9123
300 32.466 195.753 195.553 0.060 142.911 113.477 219.7579
350 32.102 200.730 195.947 1.674 142.635 108.592 216.2063
400 31.769 204.994 196.817 3.271 140.065 103.840 213.5600
450 31.512 208.721 197.937 4.852 138.991 99.367 211.5341
500 31.346 212.031 199.184 6.424 137.822 95.029 29.9275
550 31.274 215.015 200.490 7.989 136.821 90.799 28.6233
600 31.287 217.736 201.815 9.552 135.905 86.657 27.5440
650 31.371 220.243 203.138 11.119 135.041 82.588 26.6367
700 31.507 222.573 204.444 12.690 134.228 78.584 25.8639
750 31.686 224.752 205.726 14.270 133.467 74.636 25.1980
800 31.897 226.804 206.980 15.859 132.717 70.738 24.6187
850 32.129 228.745 208.203 17.460 131.975 66.887 24.1103
900 32.372 230.588 209.396 19.072 78.194 64.158 23.7236
950 32.621 232.345 210.558 20.697 78.142 63.379 23.4848
1000 32.872 234.024 211.690 22.335 78.094 62.604 23.2700
1100 33.366 237.181 213.866 25.647 78.010 61.059 22.8994
1200 33.834 240.104 215.932 29.007 77.938 59.521 22.5909
1300 34.270 242.830 217.897 32.412 77.873 57.989 22.3300
1400 34.670 245.384 219.770 35.860 77.813 56.462 22.1066
1500 35.037 247.789 221.559 39.345 77.753 54.939 21.9131
1600 35.372 250.061 223.270 42.866 77.692 53.420 21.7440
1700 35.679 252.215 224.910 46.419 77.628 51.905 21.5948
1800 35.961 254.262 226.484 50.001 77.560 50.394 21.4624
1900 36.221 256.214 227.998 53.610 77.486 48.886 21.3440
2000 36.462 258.078 229.455 57.245 77.407 47.383 21.2375
2100 36.687 259.862 230.861 60.902 77.324 45.884 21.1413
2200 36.898 261.574 232.219 64.582 77.235 44.389 21.0539
2300 37.097 263.218 233.531 68.281 77.142 42.898 20.9742
2400 37.286 264.801 234.801 72.001 77.046 41.411 20.9013
2500 37.467 266.327 236.032 75.738 76.945 39.928 20.8342
2600 37.641 267.800 237.226 79.494 76.842 38.450 20.7725
2700 37.809 269.224 238.384 83.266 76.737 36.975 20.7153
2800 37.971 270.602 239.511 87.055 76.630 35.504 20.6623
2900 38.129 271.937 240.606 90.860 76.521 34.038 20.6131
3000 38.282 273.232 241.672 94.681 76.412 32.574 20.5672
3100 38.431 274.490 242.710 98.517 76.301 31.115 20.5243
3200 38.576 275.712 243.723 102.367 76.190 29.659 20.4841
3300 38.716 276.902 244.710 106.232 76.078 28.207 20.4465
3400 38.851 278.059 245.674 110.110 75.965 26.758 20.4111
3500 38.982 279.187 246.616 114.002 75.851 25.312 20.3778
3600 39.106 280.287 247.536 117.906 75.736 23.870 20.3463
3700 39.224 281.360 248.435 121.823 75.618 22.431 20.3167
3800 39.336 282.408 249.316 125.751 75.498 20.995 20.2886
3900 39.439 283.431 250.177 129.690 75.374 19.562 20.2620
4000 39.535 284.431 251.021 133.638 75.245 18.133 20.2368
4100 39.621 285.408 251.848 137.596 75.112 16.707 20.2128
4200 39.698 286.364 252.659 141.562 74.972 15.284 20.1901
4300 39.765 287.299 253.453 145.536 74.824 13.865 20.1684
4400 39.822 288.214 254.233 149.515 74.668 12.448 20.1478
4500 39.868 289.109 254.998 153.500 74.502 11.036 20.1281
4600 39.902 289.986 255.749 157.488 74.326 9.628 20.1093
4700 39.926 290.844 256.487 161.480 74.137 8.223 20.0914
4800 39.937 291.685 257.211 165.473 73.935 6.823 20.0743
4900 39.937 292.508 257.923 169.467 73.719 5.427 20.0579
5000 39.926 293.315 258.623 173.460 73.487 4.036 20.0422
5100 39.903 294.106 259.311 177.451 73.239 2.649 20.0271
5200 39.868 294.880 259.988 181.440 72.973 1.268 20.0127
5300 39.822 295.639 260.653 185.425 72.689 20.109 0.0011
5400 39.766 296.383 261.308 189.404 72.386 21.480 0.0143
5500 39.698 297.112 261.952 193.377 72.062 22.844 0.0270
5600 39.621 297.827 262.587 197.344 71.718 24.203 0.0392
5700 39.533 298.527 263.211 201.301 71.352 25.556 0.0509
5800 39.437 299.214 263.826 205.250 70.965 26.901 0.0622
5900 39.331 299.887 264.431 209.188 70.555 28.241 0.0730
6000 39.217 300.547 265.028 213.116 70.123 29.572 0.0833
